authorId,name
2062798800,N. C. Dang
32387398,M. García
2438150,Fernando De la Prieta Pintado
2108384708,S. Singh
46659335,Lipo Wang
29822768,Sukrit Gupta
1602995260,Haveesh Goli
35143929,P. Padmanabhan
2064386104,Bal'azs Guly'as
145584543,Neil C. Thompson
2403306,K. Greenewald
39808564,Keeheon Lee
2064561386,Gabriel F. Manso
116600360,Amitojdeep Singh
9747837,S. Sengupta
48615540,V. Lakshminarayanan
2455899,G. Barbastathis
32920239,Agnieszka Mikołajczyk
31820684,M. Grochowski
15299985,Hyunku Shin
1749219377,Seung-Rok Oh
2194602727,Soonwoo Hong
48082685,Minsung Kang
2113555433,Daehyeon Kang
2142812760,Yong-gu Ji
12601896,B. Choi
6359880,Ka-Won Kang
6178408,Hyesun Jeong
2145790861,Yong Park
5127338,Sunghoi Hong
1683042935,H. Kim
143704442,Yeonho Choi
1734023,Nir Shlezinger
21040156,Jay Whang
143783379,Yonina C. Eldar
1718469,A. Dimakis
1699054,W. Samek
144535526,G. Montavon
1687524,A. Vedaldi
2280917429,L. K. Hansen
2227633438,Klaus Müller
144469308,Jian Wang
2154088555,Hengde Zhu
2121366199,Shui-hua Wang
2108044801,Yudong Zhang
2115844647,Xiaoyong Yuan
50462511,Pan He
22317545,Qile Zhu
2108673454,Xiaolin Li
1736651,S. Levine
143970835,P. Pastor
2064160,A. Krizhevsky
47202040,Deirdre Quillen
2108297456,Ge Wang
2998762,J. C. Ye
1743763,B. D. Man
1410071746,Jing Gao
144326617,Peng Li
1803933,Zhikui Chen
2107957910,Jianing Zhang
2143795572,Yi Sun
2733115,Yuheng Chen
31843833,Xiaogang Wang
50295995,Xiaoou Tang
68975039,M. Sit
1628413087,B. Demiray
31443065,Z. Xiang
1832847857,Gregory Ewing
79541664,Y. Sermet
87450464,I. Demir
2111664006,Wei Ma
2658320,Zhaocheng Liu
46993938,Z. Kudyshev
145921529,A. Boltasseva
36163576,W. Cai
2108776131,Yongmin Liu
3170717,Aytuğ Onan
144093725,Zheng Zhao
2109007116,Weihai Chen
3358908,Xingming Wu
2144127955,Peter C. Y. Chen
144027038,Jingmeng Liu
7181694,Jiequn Han
3151729,Arnulf Jentzen
48145954,Weinan E
151254077,Wesley J. Maddox
4936329,T. Garipov
6931354,M. Avanzo
30434668,Lise Wei
2214956,J. Stancanello
5425836,M. Vallières
1849484,A. Rao
10291282,O. Morin
12830231,S. Mattonen
65739579,I. E. El Naqa
39682944,J. Li
1735962,Aixin Sun
3192562,Jianglei Han
2829009,Chenliang Li
1423589360,Tao Lei
2108772334,Risheng Wang
2075389243,Yong Wan
2133926214,Xiaogang Du
37192632,Hongying Meng
145720325,A. Nandi
2347855602,Daniele Ravì
1905807,Charence Wong
2775904,F. Deligianni
3163767,M. Berthelot
1443783456,Javier Andreu-Perez
1745644,Benny P. L. Lo
144574968,Guang-Zhong Yang
3346079,V. Monga
2912499,Yuelong Li
16906057,Sunae So
51070642,Trevon Badloe
4875176,Jae-Kyo Noh
1401742670,J. Bravo-Abad
40142650,J. Rho
1718421,Nathan Shone
2382427810,Tran Nguyen Ngoc
32382290,Vu Dinh Phai
2113757744,Qi Shi
144685269,M. Naumov
2205699,Dheevatsa Mudigere
3311352,H. Shi
1914477,Jianyu Huang
134534016,Narayanan Sundaraman
1686843,Jongsoo Park
2108429236,Xiaodong Wang
2633839,Udit Gupta
2797270,Carole-Jean Wu
27754615,A. Azzolini
40858378,Dmytro Dzhulgakov
133625362,Andrey Mallevich
2085613051,I. Cherniavskii
1768032,Yinghai Lu
2065915235,Raghuraman Krishnamoorthi
133684678,Ansha Yu
2066285251,Volodymyr Kondratenko
2057779025,Stephanie Pereira
48283662,Xianjie Chen
2066758688,Vijay Rao
33920592,Bill Jia
2068237657,Liang Xiong
1711231,M. Smelyanskiy
40565271,He Li
144705313,K. Ota
1714082,M. Dong
46875441,Xiaoxiang Zhu
2977931,D. Tuia
35041003,Lichao Mou
39943835,Gui-Song Xia
2152480620,Feng Xu
2033171,F. Fraundorfer
5926615,T. Ching
1868440,Daniel S. Himmelstein
1402651503,Brett K. Beaulieu-Jones
32985843,Alexandr A Kalinin
48154546,Brian T Do
3738725,G. Way
137381074,E. Ferrero
2236448,P. Agapow
40862218,M. Zietz
35290352,M. M. Hoffman
1993128574,W. Xie
6997856,G. Rosen
6580840,Benjamin J. Lengerich
